task,scene,success,objects_moved,objects_total,failed_count,failed_json,duration_ms,llm_used,run_id,run_ts,is_event,file,scenario_type,obstacle_mode,success_count,failure_count,object_success_rate,no_obs_success_rate,obs_success_rate,static_success_rate,random_success_rate,failure_reason_counts_json,success_bool
align_tabung,group_no_obs,False,2,4,2,"[{""object_id"": ""circle3"", ""stage"": ""pick"", ""z"": 0.838, ""attempts"": 3}, {""object_id"": ""circle4"", ""stage"": ""pick"", ""z"": 0.838, ""attempts"": 3}]",74584,False,align_tabung_group_no_obs_20260526_231404,2026-05-26 23:14:04,False,align_tabung_group_no_obs_20260526_231404.csv,,no_obs,,,0.5,,,,,,False
align_tabung,group_no_obs,False,3,4,1,"[{""object_id"": ""circle4"", ""stage"": ""pick"", ""z"": 0.838, ""attempts"": 3}]",147032,False,align_tabung_group_no_obs_20260526_232122,2026-05-26 23:21:22,False,align_tabung_group_no_obs_20260526_232122.csv,,no_obs,,,0.75,,,,,,False
align_cubes,group_no_obs,False,3,4,1,"[{""object_id"": ""cube4"", ""stage"": ""pick"", ""z"": 0.829, ""attempts"": 3}]",134317,False,align_cubes_group_no_obs_20260526_232400,2026-05-26 23:24:00,False,align_cubes_group_no_obs_20260526_232400.csv,,no_obs,,,0.75,,,,,,False
align_cubes,group_no_obs,False,3,4,1,"[{""object_id"": ""cube4"", ""stage"": ""pick"", ""z"": 0.829, ""attempts"": 3}]",205455,False,align_cubes_group_no_obs_20260527_184904,2026-05-27 18:49:04,False,align_cubes_group_no_obs_20260527_184904.csv,,no_obs,,,0.75,,,,,,False
align_cubes,group_no_obs,False,0,4,4,"[{""object_id"": ""cube1"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""attempts"": 3}, {""object_id"": ""cube2"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""attempts"": 3}, {""object_id"": ""cube3"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""attempts"": 3}, {""object_id"": ""cube4"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""attempts"": 3}]",49497,False,align_cubes_group_no_obs_20260527_201418,2026-05-27 20:14:18,False,align_cubes_group_no_obs_20260527_201418.csv,static,no_obs,0.0,4.0,0.0,0.0,,0.0,,"{""object_not_lifted_after_pick"": 4}",False
align_cubes,group_no_obs,False,2,4,2,"[{""object_id"": ""cube1"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""actual"": [-0.0242, -0.506, 0.8294], ""attempts"": 3}, {""object_id"": ""cube4"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""actual"": [0.3348, -0.3042, 0.8294], ""attempts"": 3}]",151035,False,align_cubes_group_no_obs_20260527_203236,2026-05-27 20:32:36,False,align_cubes_group_no_obs_20260527_203236.csv,static,no_obs,2.0,2.0,0.5,0.5,,0.5,,"{""object_not_lifted_after_pick"": 2}",False
align_cubes,group_no_obs,False,3,4,1,"[{""object_id"": ""cube4"", ""stage"": ""pick"", ""failure_reason"": ""object_displaced_below_table"", ""z"": 0.029, ""actual"": [0.8522, 0.7198, 0.0294], ""attempts"": 3}]",93262,False,align_cubes_group_no_obs_20260527_203523,2026-05-27 20:35:23,False,align_cubes_group_no_obs_20260527_203523.csv,static,no_obs,3.0,1.0,0.75,0.75,,0.75,,"{""object_displaced_below_table"": 1}",False
align_cubes,group_no_obs,False,3,4,1,"[{""object_id"": ""cube4"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""actual"": [0.248, 0.0191, 0.8294], ""attempts"": 3}]",74177,False,align_cubes_group_no_obs_20260527_203818,2026-05-27 20:38:18,False,align_cubes_group_no_obs_20260527_203818.csv,static,no_obs,3.0,1.0,0.75,0.75,,0.75,,"{""object_not_lifted_after_pick"": 1}",False
align_cubes,group_no_obs,True,4,4,0,[],96665,False,align_cubes_group_no_obs_20260527_204059,2026-05-27 20:40:59,False,align_cubes_group_no_obs_20260527_204059.csv,static,no_obs,4.0,0.0,1.0,1.0,,1.0,,{},True
align_cubes,group_no_obs,True,4,4,0,[],146340,False,align_cubes_group_no_obs_20260527_204557,2026-05-27 20:45:57,False,align_cubes_group_no_obs_20260527_204557.csv,static,no_obs,4.0,0.0,1.0,1.0,,1.0,,{},True
